Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate,View-through conv.
200 ft rg6 coax cable,0.08,0,0,1,5,0,0.2,0.08,0,0,0,0
22 awg cat 5 wires,0.63,0,0,1,1,0,1,0.63,0,0,0,0
22 awg ethernet cable,0.43,0,0,1,1,0,1,0.43,0,0,0,0
22 gauge cat5e,0.2,0,0,1,1,0,1,0.2,0,0,0,0
23 gauge cat6 connectors,0.39,0,0,1,12,0,0.08,0.39,0,0,0,0
23 gauge cat6 in wall,0.33,0,0,1,1,0,1,0.33,0,0,0,0
24 1740 500 ft paired cat5e utp cable,0.61,0,0,1,1,0,1,0.61,0,0,0,0
24 awh cable,0.54,0,0,1,1,0,1,0.54,0,0,0,0
250 cat 6 copper solid,0.56,0,0,1,2,0,0.5,0.56,0,0,0,0
250 cat5e cable,0.33,0,0,1,3,0,0.33,0.33,0,0,0,0
250 cat6 cable,0.39,0,0,1,2,0,0.5,0.39,0,0,0,0
250 cat6 network cable,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
250 feet cat 5 e,0.49,0,0,1,1,0,1,0.49,0,0,0,0
250 feet cat5 cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
250 feet cat5e cable,0.17,0,0,1,7,0,0.14,0.17,0,0,0,0
250 feet cat6 cable,0.33,0,0,1,13,0,0.08,0.33,0,0,0,0
250 feet of cat5 wire,0.07,0,0,1,1,0,1,0.07,0,0,0,0
250 foot cat5 cable,0.36,0,0,1,1,0,1,0.36,0,0,0,0
250 foot ethernet cable,0.32,0,0,1,46,0,0.02,0.32,0,0,0,0
250 foot white cat5e cable,0.32,0,0,1,1,0,1,0.32,0,0,0,0
250 ft 14 ga speaker wire,0.49,0,0,1,4,0,0.25,0.49,0,0,0,0
250 ft bulk cat5 cable,0.07,14.33,1,2,13,204.71,0.15,0.04,0,0.07,0.5,0
250 ft cat 5e wire,0.6,0,0,1,2,0,0.5,0.6,0,0,0,0
250 ft cat 6,0.41,0,0,1,1,0,1,0.41,0,0,0,0
250 ft cat5 cable,0.87,0,0,2,9,0,0.22,0.44,0,0,0,0
250 ft cat6,0.38,0,0,1,1,0,1,0.38,0,0,0,0
250 ft cat6 cable,1.8,27.61,1,6,54,15.34,0.11,0.3,0,1.8,0.17,0
250 ft ethernet cable,0.57,0,0,1,16,0,0.06,0.57,0,0,0,0
250 ft ethernet cable cat6,0.56,0,0,1,1,0,1,0.56,0,0,0,0
250 ft ethernet spool,0.53,0,0,1,2,0,0.5,0.53,0,0,0,0
250 lamp cable,0.4,0,0,1,2,0,0.5,0.4,0,0,0,0
250ft cat 5 cable,0.47,0,0,1,1,0,1,0.47,0,0,0,0
250ft cat5,0.55,0,0,1,2,0,0.5,0.55,0,0,0,0
250ft cat5e,0.44,0,0,1,11,0,0.09,0.44,0,0,0,0
300ft xlr raw cable,0.18,0,0,1,1,0,1,0.18,0,0,0,0
4 pair 18 2,0.07,0,0,1,1,0,1,0.07,0,0,0,0
4 wire speaker cable,1.68,0,0,3,37,0,0.08,0.56,0,0,0,0
5 wired cable,0.12,0,0,1,1,0,1,0.12,0,0,0,0
50 feet house wiring cable,0.47,0,0,1,1,0,1,0.47,0,0,0,0
50 feet speaker wire,0.96,0,0,2,8,0,0.25,0.48,0,0,0,0
50 foot 14awg wire,0.34,0,0,1,1,0,1,0.34,0,0,0,0
50 ft 14 gauge speaker wire,0.44,0,0,1,4,0,0.25,0.44,0,0,0,0
50 ft speaker wire,0.64,0,0,1,8,0,0.13,0.64,0,0,0,0
500 box cat5e,0.64,0,0,1,1,0,1,0.64,0,0,0,0
500 cat5e,0.37,0,0,1,7,0,0.14,0.37,0,0,0,0
500 coaxial cable,0.5,0,0,1,4,0,0.25,0.5,0,0,0,0
500 ethernet cable,0.57,0,0,1,4,0,0.25,0.57,0,0,0,0
500 feet 14 gauge speaker wire,0.39,0,0,1,3,0,0.33,0.39,0,0,0,0
500 feet cable rg6,0.19,0,0,1,2,0,0.5,0.19,0,0,0,0
500 feet cat5e cable,0.82,0,0,2,8,0,0.25,0.41,0,0,0,0
500 feet coaxial cable,0.95,0,0,2,13,0,0.15,0.48,0,0,0,0
500 feet coaxial cable,0.54,0,0,1,1,0,1,0.54,0,0,0,0
500 feet of black coaxial cable rg6,0.36,0,0,1,1,0,1,0.36,0,0,0,0
500 feet of camera wire,0.47,0,0,1,1,0,1,0.47,0,0,0,0
500 feet of coax,0.21,0,0,1,1,0,1,0.21,0,0,0,0
500 feet of coax cable cost,0.13,0,0,1,1,0,1,0.13,0,0,0,0
500 feet of coaxial cable,0.52,0,0,1,1,0,1,0.52,0,0,0,0
500 feet of r6 coax,0.49,0,0,1,2,0,0.5,0.49,0,0,0,0
500 feet of rg six coaxial cable,0.35,0,0,1,1,0,1,0.35,0,0,0,0
500 feet of rg59 coaxial cable,0.14,0,0,1,3,0,0.33,0.14,0,0,0,0
500 feet of rg6 coax,0.11,0,0,1,1,0,1,0.11,0,0,0,0
500 feet rg6,0.39,0,0,1,2,0,0.5,0.39,0,0,0,0
500 feet white 5e cable,0.01,0,0,1,1,0,1,0.01,0,0,0,0
500 foot box of camera cable wire,0.28,0,0,1,1,0,1,0.28,0,0,0,0
500 foot cable,0.54,0,0,1,1,0,1,0.54,0,0,0,0
500 foot ethernet cord,0.55,0,0,1,4,0,0.25,0.55,0,0,0,0
500 foot of rg59 cable,0.24,0,0,1,1,0,1,0.24,0,0,0,0
500 foot roll of coaxial cable,0.27,0,0,1,2,0,0.5,0.27,0,0,0,0
500 foot roll of tv coax,0.37,0,0,1,1,0,1,0.37,0,0,0,0
500 foot sound cable,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
500 foot spool rg59 coax,0.38,0,0,1,1,0,1,0.38,0,0,0,0
500 ft audio video cable,0.52,0,0,1,1,0,1,0.52,0,0,0,0
500 ft box of cat 5 cable,0.31,19.21,1,1,2,61.97,0.5,0.31,0,0.31,1,0
500 ft bulk cat5e cable,0.54,0,0,1,1,0,1,0.54,0,0,0,0
500 ft cat5 cable,0.3,0,0,1,15,0,0.07,0.3,0,0,0,0
500 ft cat5e,0.27,0,0,1,2,0,0.5,0.27,0,0,0,0
500 ft cat5e wire,0.5,19.36,1,1,1,38.72,1,0.5,0,0.5,1,0
500 ft cat6 cable,0.64,0,0,1,6,0,0.17,0.64,0,0,0,0
500 ft coax cable,0.85,0,0,2,6,0,0.33,0.42,0,0,0,0
500 ft coax cable,0.56,0,0,1,5,0,0.2,0.56,0,0,0,0
500 ft coaxial cable,1.19,0,0,4,55,0,0.07,0.3,0,0,0,0
500 ft coaxial cable,1.58,0,0,4,70,0,0.06,0.4,0,0,0,0
500 ft coaxial cable rg59,0.41,0,0,1,1,0,1,0.41,0,0,0,0
500 ft coaxial cable rg6,0.5,0,0,1,1,0,1,0.5,0,0,0,0
500 ft coaxial cable rg6,0.12,0,0,1,1,0,1,0.12,0,0,0,0
500 ft of coaxial cable,0.4,0,0,1,13,0,0.08,0.4,0,0,0,0
500 ft of coaxial cable,0.85,0,0,2,8,0,0.25,0.42,0,0,0,0
500 ft of rg59,0.14,0,0,1,1,0,1,0.14,0,0,0,0
500 ft of rg6 black cable,0.24,0,0,1,1,0,1,0.24,0,0,0,0
500 ft red cat5,0.37,0,0,1,1,0,1,0.37,0,0,0,0
500 ft rg59,0.68,0,0,2,5,0,0.4,0.34,0,0,0,0
500 ft rg59 u,0.06,0,0,1,1,0,1,0.06,0,0,0,0
500 ft rg6,1.13,0,0,3,9,0,0.33,0.38,0,0,0,0
500 ft rg6 bulk coax,0.38,0,0,1,1,0,1,0.38,0,0,0,0
500 ft rg6 coax cable,0.5,0,0,1,1,0,1,0.5,0,0,0,0
500 ft rg6 coaxial cable,0.9,0,0,2,47,0,0.04,0.45,0,0,0,0
500 ft rg6 coaxial cable solid copper,0.01,0,0,1,4,0,0.25,0.01,0,0,0,0
500 ft rg6 pure copper,0.16,0,0,1,1,0,1,0.16,0,0,0,0
500 ft rg6 solid copper,0.08,0,0,1,1,0,1,0.08,0,0,0,0
500 ft roll rg6,0.45,0,0,1,2,0,0.5,0.45,0,0,0,0
500 ft spool cat5e,0.02,0,0,1,1,0,1,0.02,0,0,0,0
500 rg59 cable,0.5,0,0,1,1,0,1,0.5,0,0,0,0
500 rg59 coax cable,0.18,0,0,1,1,0,1,0.18,0,0,0,0
500 rg6,1.26,0,0,3,8,0,0.38,0.42,0,0,0,0
500 rg6 hdtv cable,0.4,0,0,1,1,0,1,0.4,0,0,0,0
500 rg6 solid copper,0.43,0,0,1,1,0,1,0.43,0,0,0,0
500 rg6 spool,0.14,46.62,1,1,1,333,1,0.14,0,0.14,1,0
500 spool cat 5 cable,0.15,0,0,1,1,0,1,0.15,0,0,0,0
500 spool of rg6,0.38,0,0,1,1,0,1,0.38,0,0,0,0
500 tv cable,0.63,0,0,1,1,0,1,0.63,0,0,0,0
500ft cat 5,0.22,0,0,1,4,0,0.25,0.22,0,0,0,0
500ft cat 5 cable,0.35,0,0,1,1,0,1,0.35,0,0,0,0
500ft cat 5e,0.24,0,0,1,3,0,0.33,0.24,0,0,0,0
500ft cat 5e cable,0.43,0,0,1,1,0,1,0.43,0,0,0,0
500ft cat5,0.23,0,0,1,7,0,0.14,0.23,0,0,0,0
500ft cat5e,0.57,0,0,3,40,0,0.08,0.19,0,0,0,0
500ft cat5e box,0.17,0,0,1,1,0,1,0.17,0,0,0,0
500ft cat6,0.36,0,0,1,30,0,0.03,0.36,0,0,0,0
500ft rg59 coaxial cable,0.76,0,0,2,2,0,1,0.38,0,0,0,0
500ft rg6 cable,0.11,0,0,1,2,0,0.5,0.11,0,0,0,0
500ft rg6 ground,0.46,17.82,1,1,1,38.74,1,0.46,0,0.46,1,0
60 cable spool,0.11,0,0,1,2,0,0.5,0.11,0,0,0,0
60 computer cable,0.45,0,0,1,1,0,1,0.45,0,0,0,0
60 foot rg6 cabling,0.47,0,0,1,1,0,1,0.47,0,0,0,0
60 ft cat 5 cable,0.57,0,0,1,1,0,1,0.57,0,0,0,0
60ft cable wire,0.49,0,0,1,1,0,1,0.49,0,0,0,0
95 braid rg6,0.6,0,0,2,1,0,2,0.3,0,0,0,0
